AT,AP,AH,AFDP,GTEP,TIT,TAT,TEY,CDP,CO,NOX
6.8594,1007.9,96.799,3.5,19.663,1059.2,550,114.7,10.605,3.1547,82.722
6.785,1008.4,97.118,3.4998,19.728,1059.3,550,114.72,10.598,3.2363,82.776
6.8977,1008.8,95.939,3.4824,19.779,1059.4,549.87,114.71,10.601,3.2012,82.468
7.0569,1009.2,95.249,3.4805,19.792,1059.6,549.99,114.72,10.606,3.1923,82.67
7.3978,1009.7,95.15,3.4976,19.765,1059.7,549.98,114.72,10.612,3.2484,82.311
7.6998,1010.7,92.708,3.5236,19.683,1059.8,549.97,114.72,10.626,3.4467,82.409
7.7901,1011.6,91.983,3.5298,19.659,1060,549.87,114.71,10.644,3.4874,82.44
7.7139,1012.7,91.348,3.5088,19.673,1059.8,549.92,114.71,10.656,3.6043,83.01
7.7975,1013.8,90.196,3.5141,19.634,1060.1,550.09,114.72,10.644,3.3943,82.284
8.082,1015,88.597,4.0612,23.406,1083,550.21,131.7,11.679,1.9081,82.782
8.3047,1016,86.343,4.087,23.747,1085.3,550.2,133.67,11.703,1.7118,81.995
8.4684,1016.1,86.491,4.0513,23.734,1085.1,550.14,134.24,11.775,1.4672,80.638
8.8856,1016.2,82.974,4.0503,23.869,1085.9,550.17,134.69,11.864,1.7113,80.533
9.3714,1016.6,79.98,4.0427,23.916,1085.9,550.09,134.68,11.86,1.6637,80.538
9.7962,1017.1,78.061,4.0613,23.962,1085.9,549.97,134.68,11.855,1.4061,80.463
9.6996,1017.9,76.382,4.0719,23.945,1085.9,549.84,134.69,11.85,1.4072,80.522
9.3111,1018.8,75.559,4.0578,23.89,1085.9,549.72,134.69,11.845,1.5193,80.648
8.6702,1019.8,77.476,4.0727,23.824,1085.9,549.6,134.69,11.84,1.4201,80.374
8.1375,1020.6,79.741,4.0432,23.832,1085.4,549.99,134.68,11.835,1.6156,80.639
7.0396,1021.2,83.102,4.011,23.655,1084.9,550.03,134.68,11.83,1.6929,81.223
6.5345,1021.7,86.253,4.0678,23.801,1085.7,549.87,134.67,11.867,1.4975,84.556
